id,is_entire_condo,is_entire_rental_unit,is_entire_home,is_room_in_hotel,is_entire_serviced_apartment,is_entire_townhouse,room_type,accommodates,beds,bedrooms,bathrooms,host_years,host_is_superhost,host_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,host_has_profile_pic,neighbourhood_group,neighbourhood,latitude,longitude,availability_365,availability_30,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,instant_bookable,price,has_license,has_air_conditioning,has_hot_water,has_kitchen,has_gym,has_wifi,has_hair_dryer,has_microwave,has_refrigerator,has_pool,has_washer,review_scores_rating_missing,review_scores_cleanliness_missing,review_scores_location_missing,review_scores_communication_missing,host_response_rate_missing,host_acceptance_rate_missing,reviews_per_month_missing,drive_dist_hnl_km,drive_time_hnl_min,drive_dist_wk_km,drive_time_wk_min
18465,False,True,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,15.885010266940451,True,5.0,4,4.0,within a few hours,1.0,1.0,True,Honolulu,Primary Urban Center,21.27358,-157.82087,365,30.0,3,1125.0,3.0,1125.0,102,1,0.0,0.56,4.81,4.72,4.93,4.93,False,245.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,27.6,33.8,3.2,10.4
18466,False,True,False,False,False,False,Entire home/apt,4.0,1.0,1.0,1.0,15.885010266940451,True,5.0,4,4.0,within a few hours,1.0,1.0,True,Honolulu,Primary Urban Center,21.27437,-157.82043,281,26.0,2,365.0,3.0,1125.0,97,3,0.0,0.53,4.88,4.76,4.93,4.95,True,270.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,26.7,35.8,3.0,9.9
20562,True,False,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,15.835728952772074,True,7.0,7,7.0,within an hour,0.95,1.0,True,Honolulu,Primary Urban Center,21.27918,-157.82846,54,6.0,1,365.0,3.9,365.0,116,19,2.0,0.9,4.84,4.76,4.95,4.91,True,113.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,26.0,35.3,2.3,9.5
37099,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,15.7782340862423,True,4.0,3,3.0,within an hour,1.0,0.98,True,Honolulu,Primary Urban Center,21.27151,-157.82316,181,6.0,3,100.0,3.0,100.0,352,27,1.0,1.92,4.83,4.8,4.91,4.92,False,120.0,True,True,True,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0,27.7,33.9,3.9,11.7
38634,False,False,False,True,False,False,Private room,2.0,4.0,1.0,1.0,15.40041067761807,True,5.0,3,2.0,within a few hours,1.0,0.88,True,Honolulu,Primary Urban Center,21.28334,-157.8379,282,9.0,1,14.0,1.0,14.0,435,22,1.0,2.39,4.84,4.86,4.89,4.91,False,196.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,23.7,36.4,0.9,4.8
68045,False,True,False,False,False,False,Entire home/apt,6.0,3.0,2.0,2.0,8.344969199178644,False,2.0,1,1.0,missing,0.0,0.0,True,Honolulu,Koolauloa,21.70082,-157.99377,0,0.0,1,60.0,1.0,1125.0,455,14,0.0,2.57,4.68,4.66,4.85,4.87,True,464.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,1,1,0,69.5,73.2,72.6,77.0
485229,False,False,False,False,False,False,Private room,2.0,1.0,1.0,1.0,13.555099247091034,True,2.0,2,0.0,within a day,1.0,0.75,True,Honolulu,Koolaupoko,21.3976,-157.73564,234,2.0,7,29.0,6.7,29.0,63,14,2.0,0.41,4.86,4.84,4.97,4.87,False,300.0,True,True,True,False,False,True,True,True,True,False,False,0,0,0,0,0,0,0,39.4,40.6,23.6,33.8
485244,False,False,False,False,False,False,Private room,3.0,2.0,1.0,1.0,13.555099247091034,True,2.0,2,0.0,within a day,1.0,0.75,True,Honolulu,Koolaupoko,21.39929,-157.73733,240,7.0,5,31.0,5.0,31.0,35,2,0.0,0.27,4.77,4.71,4.86,4.83,False,351.0,True,True,True,True,False,True,True,True,True,False,False,0,0,0,0,0,0,0,39.3,40.7,23.5,33.9
497782,True,False,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,13.535934291581109,False,2.0,2,2.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.28041,-157.82452,172,25.0,30,190.0,30.0,190.0,65,0,0.0,0.4,4.55,4.25,4.75,4.8,False,99.0,True,True,False,True,False,True,True,False,False,True,True,0,0,0,0,0,0,0,25.8,33.1,2.1,7.3
521895,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,13.8507871321013,False,1.0,1,1.0,within a day,0.5,0.0,True,Honolulu,Primary Urban Center,21.28146,-157.82811,365,30.0,90,365.0,90.0,365.0,132,0,0.0,0.82,4.3,4.31,4.8,4.65,False,103.0,True,True,True,True,False,True,True,True,True,False,False,0,0,0,0,0,1,0,25.6,33.3,1.9,7.5
